ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:09.129672', 'src_ip': '192.168.0.118', 'dst_ip': '4.213.25.240', 'src_port': 57025, 'dst_port': 443, 'protocol': 'TCP', 'packet_length': 132, 'protocol_type': 1, 'src_bytes': 132, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:09.237250', 'src_ip': '4.213.25.240', 'dst_ip': '192.168.0.118', 'src_port': 443, 'dst_port': 57025, 'protocol': 'TCP', 'packet_length': 54, 'protocol_type': 1, 'src_bytes': 54, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:10.084277', 'src_ip': '192.168.0.118', 'dst_ip': '142.250.187.74', 'src_port': 52933, 'dst_port': 443, 'protocol': 'UDP', 'packet_length': 71, 'protocol_type': 2, 'src_bytes': 71, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:10.095568', 'src_ip': '142.250.187.74', 'dst_ip': '192.168.0.118', 'src_port': 443, 'dst_port': 52933, 'protocol': 'UDP', 'packet_length': 67, 'protocol_type': 2, 'src_bytes': 67, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:12.263376', 'src_ip': '192.168.0.118', 'dst_ip': '20.191.166.67', 'src_port': 57554, 'dst_port': 443, 'protocol': 'TCP', 'packet_length': 82, 'protocol_type': 1, 'src_bytes': 82, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:12.425321', 'src_ip': '20.191.166.67', 'dst_ip': '192.168.0.118', 'src_port': 443, 'dst_port': 57554, 'protocol': 'TCP', 'packet_length': 54, 'protocol_type': 1, 'src_bytes': 54, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:15.110490', 'src_ip': '142.250.187.74', 'dst_ip': '192.168.0.118', 'src_port': 443, 'dst_port': 52933, 'protocol': 'UDP', 'packet_length': 160, 'protocol_type': 2, 'src_bytes': 160, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:15.124531', 'src_ip': '192.168.0.118', 'dst_ip': '142.250.187.74', 'src_port': 52933, 'dst_port': 443, 'protocol': 'UDP', 'packet_length': 75, 'protocol_type': 2, 'src_bytes': 75, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:17.125845', 'src_ip': '192.168.0.118', 'dst_ip': '104.18.32.47', 'src_port': 54021, 'dst_port': 443, 'protocol': 'TCP', 'packet_length': 1454, 'protocol_type': 1, 'src_bytes': 1454, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:17.127741', 'src_ip': '192.168.0.118', 'dst_ip': '104.18.32.47', 'src_port': 54021, 'dst_port': 443, 'protocol': 'TCP', 'packet_length': 1454, 'protocol_type': 1, 'src_bytes': 1454, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:17.129235', 'src_ip': '192.168.0.118', 'dst_ip': '104.18.32.47', 'src_port': 54021, 'dst_port': 443, 'protocol': 'TCP', 'packet_length': 1454, 'protocol_type': 1, 'src_bytes': 1454, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:17.130612', 'src_ip': '192.168.0.118', 'dst_ip': '104.18.32.47', 'src_port': 54021, 'dst_port': 443, 'protocol': 'TCP', 'packet_length': 1454, 'protocol_type': 1, 'src_bytes': 1454, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:17.132006', 'src_ip': '192.168.0.118', 'dst_ip': '104.18.32.47', 'src_port': 54021, 'dst_port': 443, 'protocol': 'TCP', 'packet_length': 1427, 'protocol_type': 1, 'src_bytes': 1427, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:17.133537', 'src_ip': '192.168.0.118', 'dst_ip': '104.18.32.47', 'src_port': 54021, 'dst_port': 443, 'protocol': 'TCP', 'packet_length': 93, 'protocol_type': 1, 'src_bytes': 93, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:17.135044', 'src_ip': '192.168.0.118', 'dst_ip': '104.18.32.47', 'src_port': 54021, 'dst_port': 443, 'protocol': 'TCP', 'packet_length': 324, 'protocol_type': 1, 'src_bytes': 324, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:17.136564', 'src_ip': '104.18.32.47', 'dst_ip': '192.168.0.118', 'src_port': 443, 'dst_port': 54021, 'protocol': 'TCP', 'packet_length': 54, 'protocol_type': 1, 'src_bytes': 54, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:17.138179', 'src_ip': '104.18.32.47', 'dst_ip': '192.168.0.118', 'src_port': 443, 'dst_port': 54021, 'protocol': 'TCP', 'packet_length': 54, 'protocol_type': 1, 'src_bytes': 54, 'dst_bytes': 0} | Predicted label: 11
